1,admin,logentry
2,auth,group
3,auth,permission
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,residents,household
8,residents,resident
9,bhw_reports,fourpsbeneficiaryreport
10,bhw_reports,healthreport
11,bhw_reports,pregnancyreport
12,bhw_reports,sarisaristorereport
13,bhw_reports,seniorcitizenreport
14,residents,precinct
15,assistant,conversation
16,assistant,faq
17,assistant,faqcategory
18,assistant,message
19,residents,documentrequest
20,residents,barangayofficeprofile
21,residents,residentservicelog
