1,1,add_logentry,"Can add log entry"
2,1,change_logentry,"Can change log entry"
3,1,delete_logentry,"Can delete log entry"
4,1,view_logentry,"Can view log entry"
5,3,add_permission,"Can add permission"
6,3,change_permission,"Can change permission"
7,3,delete_permission,"Can delete permission"
8,3,view_permission,"Can view permission"
9,2,add_group,"Can add group"
10,2,change_group,"Can change group"
11,2,delete_group,"Can delete group"
12,2,view_group,"Can view group"
13,4,add_user,"Can add user"
14,4,change_user,"Can change user"
15,4,delete_user,"Can delete user"
16,4,view_user,"Can view user"
17,5,add_contenttype,"Can add content type"
18,5,change_contenttype,"Can change content type"
19,5,delete_contenttype,"Can delete content type"
20,5,view_contenttype,"Can view content type"
21,6,add_session,"Can add session"
22,6,change_session,"Can change session"
23,6,delete_session,"Can delete session"
24,6,view_session,"Can view session"
25,8,add_resident,"Can add Resident"
26,8,change_resident,"Can change Resident"
27,8,delete_resident,"Can delete Resident"
28,8,view_resident,"Can view Resident"
29,7,add_household,"Can add Household"
30,7,change_household,"Can change Household"
31,7,delete_household,"Can delete Household"
32,7,view_household,"Can view Household"
33,9,add_fourpsbeneficiaryreport,"Can add 4Ps Beneficiary Report"
34,9,change_fourpsbeneficiaryreport,"Can change 4Ps Beneficiary Report"
35,9,delete_fourpsbeneficiaryreport,"Can delete 4Ps Beneficiary Report"
36,9,view_fourpsbeneficiaryreport,"Can view 4Ps Beneficiary Report"
37,10,add_healthreport,"Can add Health Report"
38,10,change_healthreport,"Can change Health Report"
39,10,delete_healthreport,"Can delete Health Report"
40,10,view_healthreport,"Can view Health Report"
41,11,add_pregnancyreport,"Can add Pregnancy Report"
42,11,change_pregnancyreport,"Can change Pregnancy Report"
43,11,delete_pregnancyreport,"Can delete Pregnancy Report"
44,11,view_pregnancyreport,"Can view Pregnancy Report"
45,12,add_sarisaristorereport,"Can add Sari-Sari Store/Carenderia Report"
46,12,change_sarisaristorereport,"Can change Sari-Sari Store/Carenderia Report"
47,12,delete_sarisaristorereport,"Can delete Sari-Sari Store/Carenderia Report"
48,12,view_sarisaristorereport,"Can view Sari-Sari Store/Carenderia Report"
49,13,add_seniorcitizenreport,"Can add Senior Citizen Report"
50,13,change_seniorcitizenreport,"Can change Senior Citizen Report"
51,13,delete_seniorcitizenreport,"Can delete Senior Citizen Report"
52,13,view_seniorcitizenreport,"Can view Senior Citizen Report"
53,14,add_precinct,"Can add Precinct"
54,14,change_precinct,"Can change Precinct"
55,14,delete_precinct,"Can delete Precinct"
56,14,view_precinct,"Can view Precinct"
57,16,add_faq,"Can add faq"
58,16,change_faq,"Can change faq"
59,16,delete_faq,"Can delete faq"
60,16,view_faq,"Can view faq"
61,17,add_faqcategory,"Can add faq category"
62,17,change_faqcategory,"Can change faq category"
63,17,delete_faqcategory,"Can delete faq category"
64,17,view_faqcategory,"Can view faq category"
65,18,add_message,"Can add message"
66,18,change_message,"Can change message"
67,18,delete_message,"Can delete message"
68,18,view_message,"Can view message"
69,15,add_conversation,"Can add conversation"
70,15,change_conversation,"Can change conversation"
71,15,delete_conversation,"Can delete conversation"
72,15,view_conversation,"Can view conversation"
73,19,add_documentrequest,"Can add document request"
74,19,change_documentrequest,"Can change document request"
75,19,delete_documentrequest,"Can delete document request"
76,19,view_documentrequest,"Can view document request"
77,20,add_barangayofficeprofile,"Can add Barangay Office Profile"
78,20,change_barangayofficeprofile,"Can change Barangay Office Profile"
79,20,delete_barangayofficeprofile,"Can delete Barangay Office Profile"
80,20,view_barangayofficeprofile,"Can view Barangay Office Profile"
81,21,add_residentservicelog,"Can add Resident Service Log"
82,21,change_residentservicelog,"Can change Resident Service Log"
83,21,delete_residentservicelog,"Can delete Resident Service Log"
84,21,view_residentservicelog,"Can view Resident Service Log"
